Gap,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110
Radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,-0.678632,-0.686205,-0.694158,-0.700703,-0.707198,-0.71336,-0.71945,-0.725222,-0.730339,-0.735115,-0.739867,-0.744107,-0.7484,-0.752322,-0.756282,-0.76011,-0.763627,-0.767141,-0.770168,-0.773222,-0.776132,-0.778984,-0.781505,-0.783788,-0.786443,-0.788613,-0.790913,-0.792913,-0.794691,-0.796377,-0.798147,-0.799647,-0.800793,-0.801889,-0.802971,-0.804329,-0.805,-0.805725,-0.806414,-0.806615,-0.806737,-0.806578,-0.806191,-0.805856,-0.805404,-0.804494,-0.803611,-0.802077,-0.800405,-0.79842,-0.79621,-0.793438,-0.790241,-0.786353,-0.781842,-0.775757
131,-0.677719,-0.685272,-0.69288,-0.699645,-0.705878,-0.712095,-0.717931,-0.723597,-0.728757,-0.733471,-0.737823,-0.742455,-0.746638,-0.750589,-0.754075,-0.757877,-0.76133,-0.764831,-0.768052,-0.770714,-0.773497,-0.776286,-0.778785,-0.781122,-0.783429,-0.78565,-0.787507,-0.789598,-0.791328,-0.792962,-0.794265,-0.795882,-0.796872,-0.797675,-0.798668,-0.799611,-0.80062,-0.801122,-0.801112,-0.801119,-0.801023,-0.800608,-0.799955,-0.79908,-0.798077,-0.797113,-0.795683,-0.793823,-0.791461,-0.788792,-0.785682,-0.782039,-0.777602,-0.77227,-0.765994,-0.757979
132,-0.676958,-0.68441,-0.691875,-0.698648,-0.704706,-0.710972,-0.716511,-0.722044,-0.727283,-0.73159,-0.736248,-0.740665,-0.74461,-0.748497,-0.752147,-0.755525,-0.759164,-0.762495,-0.765515,-0.768035,-0.770675,-0.773554,-0.775891,-0.778108,-0.780129,-0.7824,-0.784185,-0.786139,-0.787963,-0.789098,-0.790331,-0.791633,-0.792701,-0.793509,-0.794148,-0.795098,-0.795571,-0.795603,-0.795683,-0.795111,-0.794714,-0.794067,-0.793049,-0.791842,-0.790443,-0.788824,-0.786645,-0.784256,-0.781455,-0.777635,-0.773721,-0.76869,-0.762456,-0.754935,-0.746127,-0.735673
133,-0.67618,-0.683431,-0.690873,-0.697468,-0.703402,-0.70934,-0.715165,-0.72052,-0.725122,-0.729865,-0.734289,-0.738586,-0.742764,-0.74639,-0.749962,-0.753422,-0.756814,-0.759938,-0.7626,-0.765606,-0.767914,-0.770649,-0.773164,-0.774976,-0.77697,-0.779028,-0.781077,-0.782416,-0.783529,-0.784981,-0.786206,-0.787647,-0.788135,-0.788613,-0.789542,-0.789963,-0.789992,-0.789844,-0.789494,-0.788741,-0.788065,-0.78701,-0.7855,-0.783672,-0.781718,-0.779403,-0.776762,-0.773401,-0.769537,-0.764901,-0.759272,-0.752229,-0.743761,-0.733486,-0.72121,-0.707739
134,-0.675383,-0.682508,-0.689714,-0.696271,-0.702106,-0.707957,-0.713696,-0.718624,-0.723447,-0.728366,-0.732653,-0.736738,-0.740812,-0.744257,-0.747688,-0.751003,-0.754516,-0.757158,-0.759822,-0.762789,-0.765132,-0.767539,-0.769925,-0.771853,-0.773649,-0.775518,-0.777278,-0.778424,-0.779702,-0.780997,-0.781847,-0.782972,-0.783358,-0.784107,-0.784008,-0.784094,-0.784085,-0.783453,-0.782852,-0.781903,-0.780652,-0.779157,-0.777186,-0.774812,-0.77185,-0.768819,-0.765428,-0.760748,-0.755545,-0.749228,-0.741573,-0.732034,-0.720391,-0.706337,-0.690022,-0.671
135,-0.674549,-0.681583,-0.688639,-0.695075,-0.700978,-0.70677,-0.711826,-0.716781,-0.721524,-0.72651,-0.730694,-0.734635,-0.738663,-0.742288,-0.745457,-0.748705,-0.751408,-0.75461,-0.757164,-0.7599,-0.762279,-0.764709,-0.766697,-0.768502,-0.77024,-0.771897,-0.773083,-0.774521,-0.775705,-0.776678,-0.77743,-0.778297,-0.778402,-0.778544,-0.778309,-0.778175,-0.777542,-0.776666,-0.775529,-0.774191,-0.772427,-0.770377,-0.767964,-0.764399,-0.760959,-0.756956,-0.751985,-0.746312,-0.739163,-0.730431,-0.719549,-0.706259,-0.690499,-0.671016,-0.647466,-0.617562
136,-0.673654,-0.680646,-0.687502,-0.693848,-0.699698,-0.705305,-0.710423,-0.715355,-0.719925,-0.724433,-0.728747,-0.732627,-0.736686,-0.739857,-0.743106,-0.7462,-0.748969,-0.751723,-0.754303,-0.757112,-0.75908,-0.761593,-0.763495,-0.765045,-0.766677,-0.767784,-0.769112,-0.770135,-0.771396,-0.772025,-0.772552,-0.772866,-0.773126,-0.772777,-0.77223,-0.771573,-0.770508,-0.76934,-0.767685,-0.765659,-0.763089,-0.760275,-0.757063,-0.752859,-0.748071,-0.742813,-0.736473,-0.728207,-0.718237,-0.705775,-0.690798,-0.672609,-0.649676,-0.621399,-0.58361,-0.532631
137,-0.672659,-0.679691,-0.686385,-0.692668,-0.698265,-0.703779,-0.708749,-0.713564,-0.718208,-0.722926,-0.727102,-0.730552,-0.734359,-0.737687,-0.740633,-0.743515,-0.746093,-0.749083,-0.7514,-0.753861,-0.756027,-0.757798,-0.760087,-0.761378,-0.762636,-0.763842,-0.764929,-0.765713,-0.76676,-0.76703,-0.767271,-0.767313,-0.767165,-0.766533,-0.76546,-0.764332,-0.762856,-0.761105,-0.758858,-0.75622,-0.752782,-0.749109,-0.744699,-0.739396,-0.733073,-0.725636,-0.716665,-0.705597,-0.691819,-0.674808,-0.653199,-0.626555,-0.591804,-0.546964,-0.484697,-0.399811
138,-0.671634,-0.678745,-0.685304,-0.690958,-0.69653,-0.702338,-0.707155,-0.711955,-0.716494,-0.720896,-0.724526,-0.728429,-0.732133,-0.735154,-0.738063,-0.740774,-0.743641,-0.746167,-0.748436,-0.750627,-0.752772,-0.754731,-0.756216,-0.757511,-0.758267,-0.759555,-0.760142,-0.761114,-0.761676,-0.761865,-0.761714,-0.761161,-0.760709,-0.759632,-0.758092,-0.75643,-0.754413,-0.751866,-0.749062,-0.745353,-0.741024,-0.735968,-0.730269,-0.723282,-0.714867,-0.704316,-0.691646,-0.675929,-0.656824,-0.632065,-0.600289,-0.559034,-0.503515,-0.430902,-0.333597,-0.225691
139,-0.670565,-0.677587,-0.683495,-0.689663,-0.695129,-0.700538,-0.705401,-0.709944,-0.714421,-0.718774,-0.722466,-0.726296,-0.729575,-0.732467,-0.735411,-0.738239,-0.740751,-0.742952,-0.745337,-0.747409,-0.749145,-0.750778,-0.751891,-0.753288,-0.754298,-0.754952,-0.755365,-0.755924,-0.756215,-0.755794,-0.755485,-0.754602,-0.753423,-0.751805,-0.749917,-0.747491,-0.744889,-0.741475,-0.737447,-0.733038,-0.727403,-0.720592,-0.71268,-0.703431,-0.69141,-0.677312,-0.65929,-0.636557,-0.607834,-0.571192,-0.52175,-0.455688,-0.370637,-0.265044,-0.157979,0.936533
140,-0.669515,-0.675607,-0.682138,-0.688276,-0.693708,-0.698957,-0.703735,-0.708131,-0.712492,-0.716525,-0.720607,-0.723675,-0.726749,-0.729812,-0.732593,-0.735438,-0.737539,-0.739939,-0.741751,-0.743735,-0.745527,-0.746521,-0.747776,-0.748847,-0.749664,-0.750203,-0.750311,-0.750273,-0.749973,-0.749423,-0.748683,-0.747081,-0.745482,-0.743381,-0.740693,-0.737375,-0.733819,-0.729327,-0.72424,-0.718383,-0.710808,-0.701764,-0.691116,-0.677901,-0.661681,-0.640433,-0.613215,-0.580513,-0.537756,-0.480987,-0.402367,-0.302416,-0.187458,0.744411,0.982477,-0.958773
141,-0.667639,-0.674423,-0.680906,-0.686893,-0.692133,-0.697268,-0.702058,-0.706076,-0.710436,-0.714392,-0.717697,-0.720752,-0.724226,-0.727314,-0.729702,-0.732097,-0.734541,-0.736448,-0.738205,-0.740094,-0.741245,-0.742291,-0.743405,-0.743998,-0.744718,-0.744562,-0.744558,-0.744136,-0.743344,-0.742513,-0.740585,-0.738882,-0.73657,-0.733692,-0.730181,-0.725801,-0.720822,-0.715359,-0.708443,-0.700361,-0.690036,-0.678114,-0.663051,-0.644049,-0.619872,-0.589172,-0.548609,-0.497748,-0.429465,-0.34297,-0.234824,-0.105911,0.948213,-0.974433,-0.919823,-0.864547
142,-0.666491,-0.673178,-0.679518,-0.685181,-0.69033,-0.695395,-0.699944,-0.704253,-0.708152,-0.711825,-0.715302,-0.718336,-0.721395,-0.72416,-0.726781,-0.729068,-0.731089,-0.732744,-0.734544,-0.735525,-0.736899,-0.737665,-0.738425,-0.738781,-0.738877,-0.738911,-0.738162,-0.73738,-0.736155,-0.734508,-0.73198,-0.729614,-0.726452,-0.722663,-0.717973,-0.712408,-0.70587,-0.698397,-0.689207,-0.677932,-0.664057,-0.647148,-0.625144,-0.596675,-0.561836,-0.515508,-0.45385,-0.376285,-0.278729,-0.165823,0.858843,0.999071,-0.931354,-0.881025,-0.826349,-0.754741
143,-0.665187,-0.67169,-0.67791,-0.683741,-0.688676,-0.693551,-0.698044,-0.702065,-0.705764,-0.70925,-0.712744,-0.715565,-0.718515,-0.721201,-0.723625,-0.725518,-0.727461,-0.728865,-0.730179,-0.731492,-0.732257,-0.732823,-0.733345,-0.733239,-0.732922,-0.732358,-0.73127,-0.729852,-0.727864,-0.725513,-0.722349,-0.71903,-0.714798,-0.709676,-0.703586,-0.696374,-0.687729,-0.677615,-0.66473,-0.649457,-0.630089,-0.604562,-0.571996,-0.529671,-0.475885,-0.405461,-0.315656,-0.213953,-0.069153,0.954554,-0.956091,-0.889799,-0.839747,-0.782923,-0.705069,-0.585986
144,-0.663693,-0.67028,-0.67637,-0.682152,-0.686951,-0.691679,-0.695654,-0.69946,-0.70349,-0.706656,-0.709914,-0.712744,-0.715443,-0.718123,-0.720063,-0.721891,-0.723455,-0.724912,-0.725868,-0.726682,-0.727241,-0.727455,-0.727556,-0.727111,-0.726411,-0.725175,-0.723379,-0.721427,-0.718597,-0.715485,-0.711288,-0.706756,-0.701214,-0.694446,-0.686394,-0.676912,-0.664921,-0.651287,-0.633434,-0.61071,-0.582153,-0.544235,-0.494468,-0.428775,-0.3517,-0.256093,-0.145771,0.898034,-0.987604,-0.909209,-0.847838,-0.796585,-0.737709,-0.630459,0.170903,0.464746
145,-0.662122,-0.668569,-0.674833,-0.680084,-0.68465,-0.689217,-0.693526,-0.697376,-0.700652,-0.704001,-0.707072,-0.709659,-0.712169,-0.714532,-0.716183,-0.717733,-0.719129,-0.720027,-0.720943,-0.721413,-0.721718,-0.721555,-0.721186,-0.720299,-0.718975,-0.717003,-0.714661,-0.71163,-0.708116,-0.703643,-0.69865,-0.692239,-0.684936,-0.675969,-0.664854,-0.651994,-0.636087,-0.615825,-0.590148,-0.556854,-0.513246,-0.455584,-0.379748,-0.290241,-0.193733,-0.0695928,0.978568,-0.939316,-0.863996,-0.801108,-0.747276,-0.673816,0.132522,0.427776,0.537109,0.6123
146,-0.66078,-0.666799,-0.672992,-0.678142,-0.682887,-0.68695,-0.690957,-0.694677,-0.698147,-0.701329,-0.703796,-0.70638,-0.708764,-0.710782,-0.7122,-0.713459,-0.714611,-0.715236,-0.715766,-0.715848,-0.715562,-0.714891,-0.713921,-0.712661,-0.710433,-0.707848,-0.704472,-0.700534,-0.695772,-0.689792,-0.682974,-0.674815,-0.664913,-0.652735,-0.637811,-0.62043,-0.597095,-0.567593,-0.528337,-0.475584,-0.412389,-0.328035,-0.228101,-0.128484,0.952686,-0.96818,-0.888884,-0.815641,-0.749252,-0.690154,0.265467,0.423386,0.517927,0.605104,0.672939,0.72833
147,-0.659403,-0.665007,-0.670991,-0.676248,-0.68022,-0.684358,-0.688452,-0.69196,-0.6952,-0.697957,-0.700448,-0.702939,-0.704861,-0.706705,-0.70793,-0.708875,-0.709552,-0.709833,-0.710066,-0.709604,-0.708836,-0.707518,-0.706069,-0.703758,-0.700757,-0.697324,-0.692667,-0.687738,-0.680977,-0.673254,-0.664086,-0.653118,-0.639498,-0.623093,-0.603607,-0.576648,-0.542057,-0.497142,-0.436954,-0.358823,-0.264379,-0.166133,-0.0710103,-0.988709,-0.918264,-0.839183,-0.759933,-0.685404,-0.045558,0.435637,0.51505,0.600922,0.674842,0.728163,0.771766,0.818221
